name,true_pld,proxy_pld,abs_error,signed_error
ure+N371+E215,5.1253400000000005,4.558495998382568,0.5668440016174321,-0.5668440016174321
vmo+N446+E130,8.817060000000001,7.8025407791137695,1.014519220886232,-1.014519220886232
ecp+N369+E71,5.50201,4.782871723175049,0.7191382768249515,-0.7191382768249515
gan+N172+E104,8.4868,7.534947395324707,0.9518526046752935,-0.9518526046752935
irl+N89+E0,7.6808,7.088252544403076,0.5925474555969235,-0.5925474555969235
vby+N144+E205,6.25206,5.4651288986206055,0.7869311013793947,-0.7869311013793947
ghw+N383+E66,3.55594,2.927828311920166,0.6281116880798341,-0.6281116880798341
qtz-x+N457+E102,7.555789999999999,6.853482246398926,0.7023077536010733,-0.7023077536010733
wky+N442+E138,8.92651,7.939757823944092,0.9867521760559086,-0.9867521760559086
zfh+N383+E204,6.28124,5.480836391448975,0.8004036085510258,-0.8004036085510258
tsx+N336+N429+E102,6.751639999999999,5.819622993469238,0.9320170065307609,-0.9320170065307609
vmv+N38+E13,6.249969999999999,5.599532604217529,0.6504373957824701,-0.6504373957824701
rkf+N167+E70,5.74843,5.355831623077393,0.39259837692260735,-0.39259837692260735
wgt+N242+E95,3.31342,2.342583179473877,0.9708368205261229,-0.9708368205261229
bcg+N131+E29,3.3583300000000005,3.052539587020874,0.30579041297912646,-0.30579041297912646
fit+N407+N671+E180,5.3811,4.746094226837158,0.6350057731628418,-0.6350057731628418
sra+N109+E226,7.46789,6.796722888946533,0.6711671110534665,-0.6711671110534665
sos+N423+E199,8.34171,7.832600116729736,0.5091098832702645,-0.5091098832702645
skc+N300+E137,3.9390099999999997,3.24753999710083,0.6914700028991696,-0.6914700028991696
mok+N649+E149,6.771719999999999,6.045234680175781,0.726485319824218,-0.726485319824218
vmv+N375+E131,7.31163,7.015236854553223,0.2963931454467774,-0.2963931454467774
yfw+N482+E149,7.1908,6.132842540740967,1.0579574592590335,-1.0579574592590335
zfy+N482+E131,7.97617,6.997006416320801,0.979163583679199,-0.979163583679199
ecn+N586+E168,4.52623,3.7247848510742188,0.8014451489257812,-0.8014451489257812
mok+N346+E48,5.6024199999999995,4.527106285095215,1.0753137149047847,-1.0753137149047847
pth+N304+N539+E206,8.9171,8.310980796813965,0.6061192031860347,-0.6061192031860347
vms+N423+E27,6.82751,6.412596225738525,0.4149137742614748,-0.4149137742614748
ukh+N164+E168,7.15665,6.10532283782959,1.0513271621704101,-1.0513271621704101
